feature,importance
scaled_price_lag_1h,0.40768200564166995
scaled_price_lag_24h,0.1811015685125616
scaled_renewable_pct,0.12519069194325216
hour_sin,0.06508330683279265
scaled_carbon_per_price,0.040410870426728016
scaled_carbon_intensity_actual,0.035361680961373515
hour,0.031491534590814246
scaled_uk_gen_biomass_%,0.022663575627661088
hour_cos,0.019684278762680186
scaled_carbon_intensity_forecast,0.0068463285661884655
scaled_fossil_pct,0.006353565734388307
scaled_uk_gen_gas_%,0.005357675876043444
scaled_log_solar_radiation_Wm2,0.003866599802568776
scaled_uk_gen_wind_%,0.0038058693377193346
scaled_wind_lag_1h,0.003739773056097472
scaled_carbon_lag_1h,0.003284859472157401
scaled_uk_gen_imports_%,0.0031972528863137835
scaled_log_no2,0.0029335788508794286
scaled_price_rolling_24h_mean,0.002587755870299493
scaled_log_uk_gen_solar_%,0.0024824658433663972
scaled_price_rolling_24h_std,0.001706279789814296
scaled_wind_speed_mps,0.001608726043990676
scaled_carbon_rolling_24h_std,0.0015101850663572643
scaled_wind_lag_24h,0.0014982043005772135
scaled_carbon_rolling_24h_mean,0.0014278100764659816
