feature,importance
scaled_price_lag_1h,0.24717693
scaled_price_lag_24h,0.20997362
scaled_renewable_pct,0.10970332
hour_sin,0.0503659
hour,0.042720884
scaled_carbon_lag_1h,0.02867926
scaled_wind_lag_24h,0.025561381
scaled_uk_gen_biomass_%,0.024068704
scaled_log_solar_radiation_Wm2,0.017260214
is_peak_hour,0.016536191
scaled_wind_lag_1h,0.01633315
hour_cos,0.015589892
scaled_carbon_intensity_actual,0.013894325
scaled_log_no2,0.013501236
scaled_uk_gen_nuclear_%,0.01315033
scaled_carbon_per_price,0.01299271
scaled_fossil_pct,0.011680337
scaled_uk_gen_wind_%,0.010558992
scaled_uk_gen_gas_%,0.009997665
scaled_price_rolling_24h_mean,0.009503167
scaled_uk_gen_imports_%,0.0070117405
scaled_carbon_rolling_24h_std,0.0069961604
scaled_wind_speed_mps,0.0069816355
scaled_humidity_%,0.006796307
scaled_price_rolling_24h_std,0.0067084716
