Feature,RF_Importance,XGB_Importance,Avg_Importance
scaled_price_lag_1h,0.40768200564166995,0.14890769,0.2782948484409903
scaled_renewable_pct,0.12519069194325216,0.20901386,0.1671022781706274
scaled_price_lag_24h,0.1811015685125616,0.11947514,0.15028835484010114
hour_sin,0.06508330683279265,0.059176102,0.062129704556704704
hour,0.031491534590814246,0.073562,0.0525267691314686
hour_cos,0.019684278762680186,0.049610835,0.03464755666570956
scaled_carbon_lag_1h,0.003284859472157401,0.05248802,0.027886440512360056
scaled_carbon_intensity_actual,0.035361680961373515,0.018088914,0.02672529770767841
scaled_carbon_per_price,0.040410870426728016,0.012138533,0.02627470191634381
scaled_uk_gen_biomass_%,0.022663575627661088,0.015892979,0.019278277192640473
scaled_log_solar_radiation_Wm2,0.003866599802568776,0.021491632,0.01267911583403509
scaled_log_no2,0.0029335788508794286,0.016805576,0.009869577505714773
scaled_fossil_pct,0.006353565734388307,0.011546307,0.008949936488897539
scaled_wind_lag_24h,0.0014982043005772135,0.014187457,0.007842830670264745
scaled_uk_gen_wind_%,0.0038058693377193346,0.011308193,0.007557031272253222
scaled_carbon_intensity_forecast,0.0068463285661884655,0.0081032645,0.007474796530959433
scaled_uk_gen_gas_%,0.005357675876043444,0.008913891,0.007135783633004727
scaled_log_uk_gen_solar_%,0.0024824658433663972,0.011297428,0.006889946946256763
scaled_carbon_rolling_24h_mean,0.0014278100764659816,0.010121968,0.005774888859982678
scaled_wind_lag_1h,0.003739773056097472,0.007054053,0.005396912918705565
scaled_uk_gen_imports_%,0.0031972528863137835,0.0069626183,0.005079935605609709
scaled_price_rolling_24h_mean,0.002587755870299493,0.0073955017,0.004991628792249637
scaled_wind_speed_mps,0.001608726043990676,0.0078196945,0.00471421025543979
scaled_carbon_rolling_24h_std,0.0015101850663572643,0.0065812273,0.0040457061807289765
scaled_price_rolling_24h_std,0.001706279789814296,0.005014936,0.0033606078819229915
